book,slug,genre,n_runs,mean,ci95,delta_vanilla,delta_psalm,delta_control,prudence,justice,courage,temperance
1 Peter,1_peter,epistle,5,85.000,1.810,19.650,2.100,10.150,82.000,86.200,79.000,92.800
2 Timothy,2_timothy,epistle,5,84.850,1.778,19.500,1.950,10.000,80.200,85.600,84.800,88.800
1 Timothy,1_timothy,epistle,5,84.750,1.140,19.400,1.850,9.900,83.000,86.200,78.200,91.600
2 Corinthians,2_corinthians,epistle,5,83.900,1.309,18.550,1.000,9.050,80.000,88.200,76.600,90.800
Romans,romans,epistle,5,83.850,2.089,18.500,0.950,9.000,85.200,85.000,77.400,87.800
1 Corinthians,1_corinthians,epistle,5,83.700,1.230,18.350,0.800,8.850,83.000,84.000,76.000,91.800
1 Thessalonians,1_thessalonians,epistle,5,82.800,0.597,17.450,-0.100,7.950,81.800,83.000,75.000,91.400
1 John,1_john,epistle,5,82.700,1.931,17.350,-0.200,7.850,79.600,86.000,75.200,90.000
Nehemiah,nehemiah,historical,5,82.400,1.750,17.050,-0.500,7.550,80.400,84.000,74.200,91.000
2 Peter,2_peter,epistle,5,82.350,2.123,17.000,-0.550,7.500,79.600,82.600,78.600,88.600
Titus,titus,epistle,5,82.250,1.567,16.900,-0.650,7.400,80.600,82.000,75.000,91.400
Colossians,colossians,epistle,5,82.250,1.439,16.900,-0.650,7.400,80.600,84.600,75.000,88.800
Isaiah,isaiah,prophet,5,82.200,2.637,16.850,-0.700,7.350,77.600,86.200,74.000,91.000
Philippians,philippians,epistle,5,82.100,0.839,16.750,-0.800,7.250,78.200,86.000,76.800,87.400
Proverbs,proverbs,wisdom,5,81.900,2.089,16.550,-1.000,7.050,80.600,83.800,71.000,92.200
Hosea,hosea,prophet,5,81.850,1.722,16.500,-1.050,7.000,79.200,84.600,73.000,90.600
Zechariah,zechariah,prophet,5,81.650,2.234,16.300,-1.250,6.800,81.400,82.800,72.200,90.200
Micah,micah,prophet,5,81.500,1.202,16.150,-1.400,6.650,80.800,85.000,70.600,89.600
Deuteronomy,deuteronomy,torah,5,81.450,2.052,16.100,-1.450,6.600,83.200,84.800,67.000,90.800
Hebrews,hebrews,epistle,5,81.300,2.221,15.950,-1.600,6.450,76.600,83.000,74.800,90.800
Amos,amos,prophet,5,81.150,1.530,15.800,-1.750,6.300,79.600,87.000,69.000,89.000
Exodus,exodus,torah,5,81.100,1.253,15.750,-1.800,6.250,80.400,82.400,70.400,91.200
Ephesians,ephesians,epistle,5,80.950,2.199,15.600,-1.950,6.100,80.800,81.800,71.200,90.000
Leviticus,leviticus,torah,5,80.900,0.996,15.550,-2.000,6.050,80.800,84.000,67.400,91.400
Daniel,daniel,apocalyptic,5,80.750,1.456,15.400,-2.150,5.900,81.600,80.000,70.600,90.800
Psalms,psalms,wisdom,5,80.300,2.075,14.950,-2.600,5.450,80.400,83.200,69.000,88.600
Revelation,revelation,apocalyptic,5,80.000,1.552,14.650,-2.900,5.150,78.600,81.000,71.200,89.200
Joshua,joshua,historical,5,79.950,2.907,14.600,-2.950,5.100,78.400,81.600,70.600,89.200
Ezra,ezra,historical,5,79.900,2.112,14.550,-3.000,5.050,79.800,81.200,69.200,89.400
Zephaniah,zephaniah,prophet,5,79.850,1.764,14.500,-3.050,5.000,78.800,83.200,70.400,87.000
Ezekiel,ezekiel,prophet,5,79.550,0.708,14.200,-3.350,4.700,78.600,82.000,70.000,87.600
Galatians,galatians,epistle,5,79.450,2.221,14.100,-3.450,4.600,75.000,83.600,74.000,85.200
2 Kings,2_kings,historical,5,79.300,2.098,13.950,-3.600,4.450,78.800,80.000,69.400,89.000
James,james,epistle,5,79.100,2.042,13.750,-3.800,4.250,74.600,80.600,74.800,86.400
Malachi,malachi,prophet,5,79.050,1.170,13.700,-3.850,4.200,75.800,81.600,71.200,87.600
John,john,gospel,5,79.000,1.849,13.650,-3.900,4.150,79.200,79.200,69.600,88.000
