book,slug,genre,bible,wikictrl_matched,delta_vanilla,delta_single_ctrl,delta_matched_ctrl,p_matched,p_single,tier_old,tier_new,tier_changed,below_wiki_old,below_wiki_new
1 Peter,1_peter,epistle,85.0000,71.6500,19.6500,10.1500,13.3500,0.0001,0.0000,A,A,False,False,False
2 Timothy,2_timothy,epistle,84.8500,71.9500,19.5000,10.0000,12.9000,0.0000,0.0003,A,A,False,False,False
1 Timothy,1_timothy,epistle,84.7500,72.5500,19.4000,9.9000,12.2000,0.0001,0.0002,A,A,False,False,False
2 Corinthians,2_corinthians,epistle,83.9000,72.4000,18.5500,9.0500,11.5000,0.0004,0.0001,A,A,False,False,False
Romans,romans,epistle,83.8500,70.9500,18.5000,9.0000,12.9000,0.0000,0.0000,A,A,False,False,False
1 Corinthians,1_corinthians,epistle,83.7000,72.6500,18.3500,8.8500,11.0500,0.0000,0.0006,A,A,False,False,False
1 Thessalonians,1_thessalonians,epistle,82.8000,72.2000,17.4500,7.9500,10.6000,0.0001,0.0003,B,B,False,False,False
1 John,1_john,epistle,82.7000,72.3000,17.3500,7.8500,10.4000,0.0012,0.0031,C,C,False,False,False
Nehemiah,nehemiah,historical,82.4000,72.1500,17.0500,7.5500,10.2500,0.0009,0.0008,C,C,False,False,False
2 Peter,2_peter,epistle,82.3500,72.0000,17.0000,7.5000,10.3500,0.0007,0.0008,C,B,True,False,False
Titus,titus,epistle,82.2500,70.5500,16.9000,7.4000,11.7000,0.0000,0.0000,B,B,False,False,False
Colossians,colossians,epistle,82.2500,71.8000,16.9000,7.4000,10.4500,0.0011,0.0025,C,C,False,False,False
Isaiah,isaiah,prophet,82.2000,72.2000,16.8500,7.3500,10.0000,0.0026,0.0031,C,C,False,False,False
Philippians,philippians,epistle,82.1000,71.8500,16.7500,7.2500,10.2500,0.0003,0.0001,B,B,False,False,False
Proverbs,proverbs,wisdom,81.9000,70.1000,16.5500,7.0500,11.8000,0.0011,0.0028,C,C,False,False,False
Hosea,hosea,prophet,81.8500,71.3500,16.5000,7.0000,10.5000,0.0010,0.0007,B,C,True,False,False
Zechariah,zechariah,prophet,81.6500,71.4500,16.3000,6.8000,10.2000,0.0011,0.0013,C,C,False,False,False
Micah,micah,prophet,81.5000,71.6000,16.1500,6.6500,9.9000,0.0015,0.0004,B,C,True,False,False
Deuteronomy,deuteronomy,torah,81.4500,72.0333,16.1000,6.6000,9.4167,0.0003,0.0010,C,B,True,False,False
Hebrews,hebrews,epistle,81.3000,73.2000,15.9500,6.4500,8.1000,0.0023,0.0014,C,C,False,False,False
Amos,amos,prophet,81.1500,73.1500,15.8000,6.3000,8.0000,0.0010,0.0008,C,C,False,False,False
Exodus,exodus,torah,81.1000,72.2500,15.7500,6.2500,8.8500,0.0000,0.0002,B,B,False,False,False
Ephesians,ephesians,epistle,80.9500,72.8000,15.6000,6.1000,8.1500,0.0003,0.0017,C,B,True,False,False
Leviticus,leviticus,torah,80.9000,72.8500,15.5500,6.0500,8.0500,0.0004,0.0029,C,B,True,False,False
Daniel,daniel,apocalyptic,80.7500,71.0500,15.4000,5.9000,9.7000,0.0001,0.0008,C,B,True,False,False
Psalms,psalms,wisdom,80.3000,70.6500,14.9500,5.4500,9.6500,0.0006,0.0023,C,B,True,False,False
Revelation,revelation,apocalyptic,80.0000,70.1500,14.6500,5.1500,9.8500,0.0035,0.0029,C,C,False,False,False
Joshua,joshua,historical,79.9500,74.3500,14.6000,5.1000,5.6000,0.0057,0.0077,C,C,False,False,False
Ezra,ezra,historical,79.9000,71.3000,14.5500,5.0500,8.6000,0.0020,0.0061,C,C,False,False,False
Zephaniah,zephaniah,prophet,79.8500,70.6000,14.5000,5.0000,9.2500,0.0008,0.0002,B,C,True,False,False
Ezekiel,ezekiel,prophet,79.5500,71.2500,14.2000,4.7000,8.3000,0.0000,0.0005,B,B,False,False,False
Galatians,galatians,epistle,79.4500,73.0000,14.1000,4.6000,6.4500,0.0042,0.0086,C,C,False,False,False
2 Kings,2_kings,historical,79.3000,73.2000,13.9500,4.4500,6.1000,0.0044,0.0138,C,C,False,False,False
James,james,epistle,79.1000,73.1000,13.7500,4.2500,6.0000,0.0186,0.0216,C,C,False,False,False
Malachi,malachi,prophet,79.0500,71.2500,13.7000,4.2000,7.8000,0.0015,0.0034,C,C,False,False,False
John,john,gospel,79.0000,73.0000,13.6500,4.1500,6.0000,0.0011,0.0051,C,C,False,False,False
2 Chronicles,2_chronicles,historical,78.9500,69.5500,13.6000,4.1000,9.4000,0.0033,0.0003,B,C,True,False,False
1 Kings,1_kings,historical,78.8500,71.7000,13.5000,4.0000,7.1500,0.0029,0.0205,C,C,False,False,False
Luke,luke,gospel,78.5500,72.6500,13.2000,3.7000,5.9000,0.0066,0.0079,C,C,False,False,False
1 Chronicles,1_chronicles,historical,78.5000,72.8000,13.1500,3.6500,5.7000,0.0197,0.0475,C,C,False,False,False
Joel,joel,prophet,78.4500,71.4000,13.1000,3.6000,7.0500,0.0010,0.0172,C,C,False,False,False
2 Thessalonians,2_thessalonians,epistle,78.3500,73.8500,13.0000,3.5000,4.5000,0.0175,0.0113,C,C,False,False,False
Matthew,matthew,gospel,78.0500,71.7000,12.7000,3.2000,6.3500,0.0025,0.0205,C,C,False,False,False
Numbers,numbers,torah,77.8000,72.3000,12.4500,2.9500,5.5000,0.0020,0.0252,C,C,False,False,False
1 Samuel,1_samuel,historical,77.7500,71.8000,12.4000,2.9000,5.9500,0.0020,0.0578,C,C,False,False,False
Obadiah,obadiah,prophet,77.6500,67.8500,12.3000,2.8000,9.8000,0.0013,0.1459,C,C,False,False,False
Mark,mark,gospel,77.6500,70.9500,12.3000,2.8000,6.7000,0.0026,0.0095,C,C,False,False,False
Job,job,wisdom,77.6000,72.8000,12.2500,2.7500,4.8000,0.0027,0.0177,C,C,False,False,False
2 Samuel,2_samuel,historical,77.4000,71.5500,12.0500,2.5500,5.8500,0.0156,0.0641,C,C,False,False,False
Acts,acts,gospel,77.2000,70.7500,11.8500,2.3500,6.4500,0.0114,0.0827,C,C,False,False,False
Lamentations,lamentations,prophet,77.1500,73.7500,11.8000,2.3000,3.4000,0.0335,0.0865,C,C,False,False,False
Genesis,genesis,torah,77.1000,71.8000,11.7500,2.2500,5.3000,0.0078,0.0073,C,C,False,False,False
